officer_id,complaint_count
P92033,66
P05017,56
P08027,52
P08028,45
P06122,36
P06154,34
P03015,32
P05134,32
P08062,28
P07040,26
P01041,24
P06155,24
P86006,24
P92036,24
P06008,23
P93016,22
P03003,22
P87014,20
P07051,20
P98005,20
P05150,19
P00025,19
P06128,19
P03021,19
P00045,19
P94048,18
P08060,18
P05057,18
P95044,18
P08049,17
P13089,17
P05027,17
P08032,17
P05023,17
P04039,17
P06089,17
P05172,17
P95085,17
P13065,17
P03011,16
P98019,16
P07039,16
P00004,16
P06069,16
P06053,16
P06043,16
P05043,16
P95028,16
P04066,16
P08033,16
P99041,15
P14016,15
P86035,15
P05050,15
P91065,15
P00065,15
P05160,15
P06024,15
P04032,15
P92011,15
P06148,15
P99057,15
P08040,15
P06016,15
P05031,14
P07002,14
P05007,14
P05044,14
P97002,14
P06150,14
P00003,14
P01012,14
P13012,14
P99010,14
P06103,14
P06162,14
P97007,14
P06075,14
P01019,14
P08012,14
P07074,14
P07046,14
P06048,14
P01044,14
P06136,14
P03005,13
P06065,13
P01065,13
P07018,13
P92045,13
P06134,13
P05146,13
P01002,13
P06019,13
P05053,13
P04077,13
P95040,13
P05020,13
P93036,13
P96028,13
P00052,13
P06131,13
P08018,12
P00127,12
P04097,12
P00108,12
P07059,12
P07019,12
P06110,12
P97019,12
P07017,12
P98016,12
P92062,12
P00023,12
P05156,12
P92037,12
P13033,12
P06040,12
P06042,12
P05092,12
P05026,12
P14068,12
P14059,12
P05136,12
P04085,12
P95051,12
P04113,12
P05137,11
P95062,11
P04031,11
P98026,11
P15004,11
P97003,11
P06142,11
P05132,11
P08029,11
P91044,11
P00033,11
P08021,11
P98025,11
P04033,11
P08008,11
P05065,11
P00074,11
P04094,11
P98027,11
P05056,11
P97033,11
P92032,11
P07030,11
P07061,11
P13066,11
P96023,11
P06079,11
P04001,10
P00040,10
P07078,10
P08023,10
P14064,10
P07066,10
P08051,10
P13003,10
P05179,10
P04106,10
P96055,10
P06010,10
P95006,10
P07048,10
